"id","name","latitude","longitude","population"
"35ca956f-9edb-48c5-a05b-6901874de846","Спенсер","43.145285","-95.147175","11203"
"67f30d99-29a8-46a4-a3ad-34b64fa512fc","Форт-Додж","42.506823","-94.180257","26879"
"824834fd-d912-400f-adac-17a67b4793b0","Хатчинсон","38.065492","-97.923491","44477"
"d924624c-7621-44a6-aae4-75be4540f075","Канзас-Сити","39.113581","-94.630146","501577"
"248130c3-cbe3-466f-a2db-300f34dae187","Лоуренс","38.959752","-95.25523","92726"
"8f91dbda-6863-4545-9cc0-1c2cdc204296","Гарден-Сити","37.975213","-100.864087","28564"
"cede3d53-2fdd-4a50-bfda-ff9c2f790153","Манхэттен","39.194028","-96.592435","56949"
"d724e9fd-3685-456a-bba4-620ec623b1c9","Хейс","38.87937","-99.322191","21394"
"5c5b24a2-c1ac-4249-8edf-989e917ccd06","Гудленд","39.348488","-101.711037","4378"
"6cd52ea8-b36f-4b2e-a760-137ad514862e","Индепенденс","39.091114","-94.415281","148102"
"9f3fd970-eba0-43a7-be53-fdea59db3dd9","Керксвилл","40.193682","-92.582809","19193"
"f336c750-35b5-4693-80d2-f0c4f06cc942","Карни","40.700706","-99.081146","31553"
"b8197f28-d4ee-4878-bf4c-a6fd0e02e2d7","Гранд-Айленд","40.922268","-98.357986","45651"
"d59c9ac7-8c13-49e8-a726-997785c645ad","Аллайанс","42.101395","-102.870192","8344"
"731d6ef0-4059-4388-805b-050f82192241","Бартлсвилл","36.7472","-95.980586","34610"
"4259a361-500f-43fe-bcfc-de69d80a60c2","Инид","36.395542","-97.878093","46138"
"aab96d51-bf4d-4805-8933-0a6ae0f29a9f","Ардмор","34.181078","-97.129405","24960"
"ad310675-0379-47ff-9714-f9bf0c1ebfd7","Макалестер","34.932996","-95.765974","21668"
"897d7fba-679a-4adb-aaf1-aeee726eb1af","Стиллуотер","36.135351","-97.068298","47667"
"1ca76ef7-14ea-42c6-9c64-a72488ff5a12","Лидс","44.350845","-103.76577","2874"
"7ae150b6-281f-4b17-a060-969d0031f137","Слайдел","30.27496","-89.781094","84239"
"f69fd2dd-2d7d-4e10-9278-cd7ed948f153","Лейк-Чарльз","30.226384","-93.217189","83821"
"cd8062cc-ad86-46c3-a9cb-031fd6dcdacf","Метери","29.983866","-90.152777","394206"
"bc8250ed-dbac-49d0-a87e-bf8a6aab487c","Нью-Иберия","30.003581","-91.818308","37540"
"fad7f2d9-2513-452c-b989-a13a0c8d16e2","Брайан","30.674186","-96.369684","146692"
"c8a306b0-5ed9-4011-91ff-56b9b622857b","Сан-Маркос","29.883071","-97.941113","70371"
"044a3770-a9da-438c-bde4-44d57ba3b6da","Лонгвью","32.500534","-94.740274","75920"
"7f6d4e69-a8a9-42e0-a3b3-b658f97196c0","Мак-Аллен","26.203038","-98.229725","364004"
"05048715-f523-4ae7-be71-f1c50ef940c7","Харлинген","26.19756","-97.690198","110339"
"421e750e-7ef0-4349-aad1-54df82c0747e","Алис","27.750463","-98.070485","22655"
